import time: self [us] | cumulative | imported package
import time:      1163 |      29850 |                 urllib.request
import time:        54 |         54 |                     _locale
import time:       795 |        848 |                   locale
import time:       926 |       1774 |                 calendar
import time:      1589 |      33212 |               http.cookiejar
import time:      1208 |       1208 |               http.cookies
import time:       796 |      60439 |             requests.compat
import time:       899 |      61337 |           requests.exceptions
import time:        93 |         93 |           chardet
import time:       395 |        395 |                 idna.idnadata
import time:       176 |        176 |                 idna.intranges
import time:       772 |       1342 |               idna.core
import time:       303 |        303 |               idna.package_data
import time:       412 |       2056 |             idna
import time:       597 |       2652 |           requests.packages
import time:       328 |        328 |                 certifi.core
import time:       482 |        810 |               certifi
import time:       156 |        965 |             requests.certs
import time:       282 |        282 |             requests.__version__
import time:       245 |        245 |             requests._internal_utils
import time:       710 |        710 |             requests._types
import time:       386 |        386 |             requests.cookies
import time:       594 |        594 |             requests.structures
import time:       567 |        567 |             importlib.resources._adapters
import time:       291 |        291 |                 importlib.resources._itertools
import time:       353 |        643 |               importlib.resources.readers
import time:       458 |       1101 |             importlib.readers
import time:       779 |       5624 |           requests.utils
import time:       341 |        341 |                 requests.auth
import time:       385 |        385 |                     stringprep
import time:       496 |        881 |                   encodings.idna
import time:       107 |        107 |                   requests.hooks
import time:       344 |        344 |                   requests.status_codes
import time:       658 |       1989 |                 requests.models
import time:       326 |        326 |                   urllib3.contrib
import time:        54 |         54 |                   socks
import time:       315 |        693 |                 urllib3.contrib.socks
import time:       376 |       3398 |               requests.adapters
import time:       426 |       3824 |             requests.sessions
import time:       369 |       4193 |           requests.api
import time:       790 |     160538 |         requests
import time:       298 |        298 |             tqdm._monitor
import time:       251 |        251 |             tqdm._tqdm_pandas
import time:       475 |        475 |                 numbers
import time:        42 |         42 |                   envwrap
import time:       337 |        378 |                 tqdm.utils
import time:       797 |       1649 |               tqdm.std
import time:       258 |        258 |                   importlib.metadata._text
import time:       449 |        706 |                 importlib.metadata._adapters
import time:      1655 |       2361 |               tqdm.version
import time:       334 |       4343 |             tqdm.cli
import time:       336 |        336 |             tqdm.gui
import time:      1514 |       6739 |           tqdm
import time:       149 |        149 |           tqdm.autonotebook
import time:       628 |        628 |                   signal
import time:      1000 |       1000 |                   fcntl
import time:        45 |         45 |                   msvcrt
import time:       862 |        862 |                   _posixsubprocess
import time:       571 |       3105 |                 subprocess
import time:       357 |        357 |                 asyncio.constants
import time:       154 |        154 |                 asyncio.coroutines
import time:      1196 |       1196 |                     _contextvars
import time:       284 |       1480 |                   contextvars
import time:       195 |        195 |                   asyncio.format_helpers
import time:       251 |        251 |                     asyncio.base_futures
import time:       282 |        282 |                     asyncio.exceptions
import time:       176 |        176 |                     asyncio.base_tasks
import time:      1364 |       2072 |                   _asyncio
import time:       360 |       4105 |                 asyncio.events
import time:       322 |        322 |                 asyncio.futures
import time:       289 |        289 |                 asyncio.protocols
import time:       246 |        246 |                   asyncio.transports
import time:       157 |        157 |                   asyncio.log
import time:       479 |        881 |                 asyncio.sslproto
import time:       142 |        142 |                     asyncio.mixins
import time:       426 |        567 |                   asyncio.locks
import time:       279 |        279 |                     asyncio.queues
import time:       478 |        478 |                     asyncio.timeouts
import time:       669 |       1424 |                   asyncio.tasks
import time:       400 |       2391 |                 asyncio.staggered
import time:       199 |        199 |                 asyncio.trsock
import time:       645 |      12444 |               asyncio.base_events
import time:       342 |        342 |               asyncio.runners
import time:       294 |        294 |               asyncio.streams
import time:       215 |        215 |               asyncio.subprocess
import time:       188 |        188 |               asyncio.taskgroups
import time:       216 |        216 |               asyncio.threads
import time:       357 |        357 |                 asyncio.base_subprocess
import time:       384 |        384 |                 asyncio.selector_events
import time:       498 |       1237 |               asyncio.unix_events
import time:      1656 |      16588 |             asyncio
import time:       716 |      17303 |           tqdm.asyncio
import time:       187 |      24378 |         tqdm.auto
import time:       357 |        357 |           tqdm.contrib
import time:       273 |        630 |         tqdm.contrib.concurrent
import time:       434 |        434 |         huggingface_hub.constants
import time:       609 |        609 |           huggingface_hub.errors
import time:      1199 |       1199 |               _uuid
import time:       374 |       1573 |             uuid
import time:       325 |        325 |                 huggingface_hub.utils.tqdm
import time:      1402 |       1402 |                   configparser
import time:        47 |         47 |                       _wmi
import time:       701 |        747 |                     platform
import time:      6213 |       6960 |                   huggingface_hub.utils._runtime
import time:       183 |       8544 |                 huggingface_hub.utils._auth
import time:       218 |        218 |                 huggingface_hub.utils._cache_assets
import time:       542 |        542 |                         gettext
import time:       818 |       1360 |                       argparse
import time:       220 |       1579 |                     huggingface_hub.commands
import time:       309 |       1888 |                   huggingface_hub.commands._cli_utils
import time:       220 |        220 |                   huggingface_hub.utils.logging
import time:      1702 |       3809 |                 huggingface_hub.utils._cache_manager
import time:       199 |        199 |                 huggingface_hub.utils._chunk_utils
import time:       150 |        150 |                 huggingface_hub.utils._datetime
import time:      1030 |       1030 |                 huggingface_hub.utils._experimental
import time:       387 |        387 |                     yaml.error
import time:       452 |        452 |                     yaml.tokens
import time:       316 |        316 |                     yaml.events
import time:       251 |        251 |                     yaml.nodes
import time:      3002 |       3002 |                       yaml.reader
import time:       318 |        318 |                       yaml.scanner
import time:       203 |        203 |                       yaml.parser
import time:       300 |        300 |                       yaml.composer
import time:       621 |        621 |                       yaml.constructor
import time:       778 |        778 |                       yaml.resolver
import time:       217 |       5437 |                     yaml.loader
import time:       315 |        315 |                       yaml.emitter
import time:       167 |        167 |                       yaml.serializer
import time:       351 |        351 |                       yaml.representer
import time:       132 |        963 |                     yaml.dumper
import time:      1617 |       1617 |                       yaml._yaml
import time:       251 |       1867 |                     yaml.cyaml
import time:       450 |      10120 |                   yaml
import time:       182 |        182 |                       filelock._error
import time:       171 |        171 |                         secrets
import time:       335 |        506 |                       filelock._util
import time:       612 |       1299 |                     filelock._api
import time:      9029 |       9029 |                             _sqlite3
import time:       439 |       9467 |                           sqlite3.dbapi2
import time:       591 |      10058 |                         sqlite3
import time:       271 |      10329 |                       filelock._read_write
import time:       245 |      10574 |                     filelock._async_read_write
import time:       301 |        301 |                     filelock._soft
import time:      1316 |       1316 |                         filelock._soft_rw._sync
import time:       250 |       1566 |                       filelock._soft_rw._async
import time:       288 |       1853 |                     filelock._soft_rw
import time:       254 |        254 |                     filelock._unix
import time:       220 |        220 |                     filelock._windows
import time:       912 |        912 |                     filelock.asyncio
import time:       196 |        196 |                     filelock.version
import time:       450 |      16054 |                   filelock
import time:       214 |      26387 |                 huggingface_hub.utils._fixes
import time:       239 |        239 |                   huggingface_hub.utils._subprocess
import time:       243 |        481 |                 huggingface_hub.utils._git_credential
import time:       120 |        120 |                   huggingface_hub.utils._deprecation
import time:       120 |        120 |                     huggingface_hub.utils._typing
import time:       267 |        386 |                   huggingface_hub.utils._validators
import time:       655 |       1160 |                 huggingface_hub.utils._headers
import time:       246 |        246 |                 huggingface_hub.utils._hf_folder
import time:       316 |        316 |                   shlex
import time:       100 |        100 |                   huggingface_hub.utils._lfs
import time:       441 |        856 |                 huggingface_hub.utils._http
import time:       180 |        180 |                 huggingface_hub.utils._pagination
import time:       129 |        129 |                 huggingface_hub.utils._paths
import time:       486 |        486 |                 huggingface_hub.utils._safetensors
import time:       137 |        137 |                 huggingface_hub.utils._telemetry
import time:       704 |        704 |                 huggingface_hub.utils._xet
import time:       313 |      45346 |               huggingface_hub.utils
import time:       845 |      46190 |             huggingface_hub._local_folder
import time:       930 |        930 |               huggingface_hub.utils.insecure_hashlib
import time:       267 |       1197 |             huggingface_hub.utils.sha
import time:       811 |      49769 |           huggingface_hub.file_download
import time:       489 |        489 |           huggingface_hub.lfs
import time:      1049 |      51914 |         huggingface_hub._commit_api
import time:       604 |        604 |         huggingface_hub._inference_endpoints
import time:       604 |        604 |           huggingface_hub._space_api
import time:      1373 |       1976 |         huggingface_hub._jobs_api
import time:       512 |        512 |         huggingface_hub._upload_large_folder
import time:      1292 |       1292 |         huggingface_hub.community
import time:       845 |        845 |         huggingface_hub.repocard_data
import time:       247 |        247 |         huggingface_hub.utils.endpoint_helpers
import time:       667 |        667 |         packaging
import time:      1207 |       1207 |         packaging.version
import time:      2216 |       2216 |                 regex._regex
import time:      2844 |       5060 |               regex._regex_core
import time:        20 |         20 |               regex.DEFAULT_VERSION
import time:       748 |       5827 |             regex._main
import time:       418 |       6244 |           regex
import time:       324 |        324 |           transformers.utils.doc
import time:       563 |        563 |               numpy.version
import time:       387 |        387 |               numpy._expired_attrs_2_0
import time:       369 |        369 |                   numpy._utils._conversions
import time:       261 |        630 |                 numpy._utils
import time:       273 |        902 |               numpy._globals
import time:        18 |         18 |                 numpy._distributor_init_local
import time:       296 |        313 |               numpy._distributor_init
import time:       396 |        396 |                         numpy.exceptions
import time:       811 |        811 |                         numpy._core._exceptions
import time:       328 |        328 |                         numpy._core.printoptions
import time:       143 |        143 |                         numpy.dtypes
import time:      9529 |      11205 |                       numpy._core._multiarray_umath
import time:       180 |        180 |                         numpy._utils._inspect
import time:       314 |        494 |                       numpy._core.overrides
import time:      2194 |      13891 |                     numpy._core.multiarray
import time:       254 |        254 |                     numpy._core.umath
import time:       325 |        325 |                       numpy._core._string_helpers
import time:       888 |        888 |                       numpy._core._type_aliases
import time:       250 |       1462 |                     numpy._core.numerictypes
import time:       672 |        672 |                                 _compat_pickle
import time:      1921 |       1921 |                                 _pickle
import time:       594 |       3185 |                               pickle
import time:       210 |       3394 |                             numpy._core._methods
import time:       691 |       4085 |                           numpy._core.fromnumeric
import time:       370 |       4454 |                         numpy._core.shape_base
import time:       269 |        269 |                         numpy._core._ufunc_config
import time:       192 |        192 |                         numpy._core._asarray
import time:       407 |        407 |                         numpy._core.arrayprint
import time:       471 |       5791 |                       numpy._core.numeric
import time:       321 |       6112 |                     numpy._core.einsumfunc
import time:       247 |        247 |                     numpy._core.function_base
import time:       228 |        228 |                     numpy._core.getlimits
import time:       203 |        203 |                     numpy._core.memmap
import time:       505 |        505 |                     numpy._core.records
import time:      3065 |       3065 |                     numpy._core._add_newdocs
import time:       633 |        633 |                     numpy._core._add_newdocs_scalars
import time:       296 |        296 |                     numpy._core._dtype
import time:       226 |        226 |                     numpy._core._dtype_ctypes
import time:      2399 |       2399 |                         sysconfig
import time:      3507 |       3507 |                         _ctypes
import time:       318 |        318 |                         ctypes._endian
import time:       836 |       7059 |                       ctypes
import time:       411 |       7469 |                     numpy._core._internal
import time:       334 |        334 |                     numpy._pytesttester
import time:       680 |      35598 |                   numpy._core
import time:        11 |      35609 |                 numpy._core._multiarray_umath
import time:       265 |      35874 |               numpy.__config__
import time:       241 |        241 |                                 numpy._typing._nbit_base
import time:       355 |        355 |                                 numpy._typing._nested_sequence
import time:       158 |        158 |                                 numpy._typing._shape
import time:       677 |       1429 |                               numpy._typing._array_like
import time:       607 |        607 |                               numpy._typing._char_codes
import time:       362 |        362 |                               numpy._typing._dtype_like
import time:        95 |         95 |                               numpy._typing._nbit
import time:        85 |         85 |                               numpy._typing._scalars
import time:       109 |        109 |                               numpy._typing._ufunc
import time:       317 |       3001 |                             numpy._typing
import time:       321 |        321 |                                 numpy.lib._array_utils_impl
import time:       389 |        710 |                               numpy.lib._stride_tricks_impl
import time:       614 |       1323 |                             numpy.lib._twodim_base_impl
import time:        86 |         86 |                             numpy.lib.array_utils
import time:      2308 |       2308 |                             numpy.linalg._umath_linalg
import time:       841 |       7557 |                           numpy.linalg._linalg
import time:       276 |       7833 |                         numpy.linalg
import time:       305 |       8137 |                       numpy.matrixlib.defmatrix
import time:       455 |       8591 |                     numpy.matrixlib
import time:       493 |        493 |                       numpy.lib._histograms_impl
import time:       792 |       1284 |                     numpy.lib._function_base_impl
import time:       393 |      10268 |                   numpy.lib._index_tricks_impl
import time:       627 |      10894 |                 numpy.lib._arraypad_impl
import time:       607 |        607 |                 numpy.lib._arraysetops_impl
import time:       436 |        436 |                 numpy.lib._arrayterator_impl
import time:       436 |        436 |                 numpy.lib._nanfunctions_impl
import time:       338 |        338 |                       numpy.lib._utils_impl
import time:       396 |        733 |                     numpy.lib._format_impl
import time:       214 |        946 |                   numpy.lib.format
import time:       273 |        273 |                   numpy.lib._datasource
import time:       302 |        302 |                   numpy.lib._iotools
import time:       433 |       1953 |                 numpy.lib._npyio_impl
import time:       155 |        155 |                     numpy.lib._ufunclike_impl
import time:       252 |        406 |                   numpy.lib._type_check_impl
import time:       327 |        733 |                 numpy.lib._polynomial_impl
import time:       280 |        280 |                 numpy.lib._shape_base_impl
import time:       195 |        195 |                 numpy.lib._version
import time:        75 |         75 |                 numpy.lib.introspect
import time:       222 |        222 |                 numpy.lib.mixins
import time:        74 |         74 |                 numpy.lib.npyio
import time:       565 |        565 |                   numpy.lib._scimath_impl
import time:        73 |        637 |                 numpy.lib.scimath
import time:        72 |         72 |                 numpy.lib.stride_tricks
import time:       496 |      17103 |               numpy.lib
import time:       203 |        203 |               numpy._array_api_info
import time:     13516 |      68859 |             numpy
import time:       471 |        471 |             transformers.utils.logging
import time:     14082 |      14082 |             transformers.utils.import_utils
import time:      1256 |       1256 |               typing_extensions
import time:       986 |        986 |               torch._utils
import time:       423 |        423 |                   torch._strobelight
import time:        23 |         23 |                       gc
import time:       226 |        248 |                     timeit
import time:       335 |        583 |                   torch._strobelight.cli_function_profiler
import time:       378 |       1382 |                 torch._strobelight.compile_time_profiler
import time:       294 |       1676 |               torch._utils_internal
import time:       339 |        339 |                     torch._vendor
import time:       287 |        625 |                   torch._vendor.packaging
import time:       130 |        130 |                   torch._vendor.packaging._structures
import time:      1037 |       1791 |                 torch._vendor.packaging.version
import time:       310 |        310 |                 torch.version
import time:       460 |       2559 |               torch.torch_version
import time:        15 |         15 |               torch._rocm_init
